segundo,wl04,wl05,wl06
475,13.228,22.6,19.402
476,13.094,22.267,19.594
477,13.235,22.346,19.152
478,13.169,22.131,19.305
479,13.14,22.295,18.999
480,13.182,22.352,18.764
481,13.089,22.369,19.322
482,13.155,22.389,19.225
483,13.142,22.222,18.848
484,13.191,22.492,18.844
485,13.201,22.535,18.487
486,13.176,22.369,18.945
487,13.176,22.265,18.736
488,13.213,22.158,18.918
489,13.227,22.208,18.908
490,13.273,22.164,18.975
491,13.28,22.215,19.124
492,13.227,22.777,19.155
493,13.227,22.266,19.395
494,13.255,22.484,18.976
495,13.22,22.321,19.476
496,13.207,22.316,19.081
497,13.291,22.349,19.038
498,13.234,22.33,18.866
499,13.25,22.814,19.423
500,13.279,22.167,18.944
501,13.203,22.392,18.969
502,13.197,22.547,19.329
503,13.221,22.337,18.798
504,13.188,22.632,18.867
505,13.246,22.511,19.284
506,13.273,22.476,19.031
507,13.235,22.319,19.357
508,13.236,22.764,18.972
509,13.066,22.608,19.6
510,13.273,22.444,19.012
511,12.998,22.451,19.354
512,13.136,22.483,19.011
513,13.14,22.685,19.078
514,13.157,22.375,18.984
515,13.072,22.299,19.439
516,13.159,22.491,19.142
517,13.067,22.183,19.025
518,13.241,21.372,19.183
519,13.133,21.435,19.484
520,13.229,21.983,19.352
521,13.227,22.316,19.009
522,13.168,22.23,19.305
523,13.116,22.53,18.803
524,13.16,22.427,19.275
525,13.174,22.398,18.935
526,13.096,22.32,19.174
527,13.109,22.477,19.216
528,13.189,22.234,18.912
529,13.118,22.305,18.876
530,13.252,22.5,19.084
531,13.036,22.27,19.636
532,13.091,22.308,19.498
533,13.189,22.276,19.129
534,13.124,22.487,19.09
535,13.134,22.384,19.082
536,13.205,22.659,18.732
537,13.214,22.496,18.842
538,13.18,22.485,19.233
539,13.164,22.361,18.991
540,13.3,22.316,19.296
541,13.249,22.233,18.725
542,13.316,22.459,19.029
543,13.352,22.442,18.291
544,13.232,22.263,18.752
545,13.248,22.579,18.246
546,13.262,22.433,18.936
547,13.223,22.602,18.439
548,13.287,22.159,18.603
549,13.186,22.225,18.483
550,13.226,22.442,18.852
551,13.22,22.525,19.713
552,13.226,22.403,20.121
553,13.268,22.349,17.466
554,13.251,22.28,18.039
555,13.31,22.456,17.866
556,13.208,22.416,19.107
557,13.198,22.516,20.775
558,13.149,22.376,19.972
559,13.071,22.308,21.635
560,13.164,22.233,20.522
561,13.194,22.591,19.741
562,13.118,22.537,19.049
563,13.25,22.244,19.128
564,13.192,22.219,19.486
565,13.113,22.15,18.881
566,13.077,22.434,19.23
567,13.273,22.49,18.717
568,13.151,22.382,19.118
569,13.215,22.391,19.23
570,13.152,22.443,19.264
571,13.198,22.586,19.175
572,13.194,22.653,19.059
573,13.096,22.343,19.025
574,13.28,22.364,19.441
575,13.136,22.308,19.341
576,13.127,22.663,19.431
577,13.185,22.351,19.135
